No;Kode Produk;Nama Produk;Jenis Produk;Satuan;Type;Periode;QTY;HPP;Jumlah;Suplier;
1272;BA;BASRENG ATO;Pedas;BALL 2 KG;In;2024-12;80;50000;4000000; Mandiri Snack ;
1273;BO;BATAGOR ORI;Asin;BALL 2 KG;In;2024-12;55;50000;2750000; Mandiri Snack ;
1274;BPD;BOLA PELANGI DUO;Manis;BALL 4 KG;In;2024-12;80;100000;8000000; Mandiri Snack ;
1275;BSA;BOLU S AZZAHRA;Manis;BALL 1 KG;In;2024-12;55;40000;2200000; Mandiri Snack ;
1276;BKT;BROWNIS KARAKTER;Manis;BALL 1 KG;In;2024-12;60;50000;3000000; Sukses Utama Perkasa  ;
1277;CO;CIKIBUL OSAKA;Manis;BALL 1 KG;In;2024-12;80;40000;3200000; Sukses Utama Perkasa  ;
1278;CW;CIPUT WAYANG ;Asin;BALL 1 KG;In;2024-12;55;50000;2750000; Sukses Utama Perkasa  ;
1279;CC;COCOSTIK;Manis;BALL 1 KG;In;2024-12;55;20000;1100000; Sukses Utama Perkasa  ;
1280;CP;COMBRING PEDAS;Pedas;BALL 1 KG;In;2024-12;60;40000;2400000; Sukses Utama Perkasa  ;
1281;GD;GURILEM DASYAT;Pedas;BALL 1 KG;In;2024-12;80;30000;2400000; Sukses Utama Perkasa  ;
1282;GL;GURILEM LYDIA;Pedas;BALL 1 KG;In;2024-12;55;30000;1650000; Sukses Utama Perkasa  ;
1283;KAB;KACANG ATOM BIMA ;Asin;BALL 2 KG;In;2024-12;60;80000;4800000; Sukses Utama Perkasa  ;
1284;KBA;KACANG BANDUNG ALADIN;Asin;BALL 2 KG;In;2024-12;80;120000;9600000; Sukses Utama Perkasa  ;
1285;KK;KACANG KEDELAI;Asin;BALL 2 KG;In;2024-12;55;90000;4950000; Sukses Utama Perkasa  ;
1286;KM;KACANG MIX;Asin;BALL 2 KG;In;2024-12;60;90000;5400000; SDP ;
1287;KTA;KACANG TELOR AMPERA;Asin;BALL 2 KG;In;2024-12;80;10000;800000; SDP ;
1288;KTP;KACANG TOBA PEDAS;Pedas;BALL 2 KG;In;2024-12;90;80000;7200000; SDP ;
1289;KCI;KEMPLANG CAP IKAN ;Asin;BALL 1 KG;In;2024-12;45;50000;2250000; SDP ;
1290;KKW;KERUPUK KEMPLANG WHR;Asin;BALL 1 KG;In;2024-12;33;50000;1650000; SDP ;
1291;KMW;KUE MARIE WIJEN;Asin;BALL 2 KG;In;2024-12;45;80000;3600000; Zidan Snack ;
1292;KPM;KUPING MINI;Manis;BALL 1 KG;In;2024-12;60;25000;1500000; Zidan Snack ;
1293;LU;LADU UNGU;Manis;BALL 1 KG;In;2024-12;80;40000;3200000; Zidan Snack ;
1294;MC;MAKARONI CIKRUH;Pedas;BALL 1 KG;In;2024-12;55;50000;2750000; Zidan Snack ;
